pair_id	task_id	trial	route	valid_result	task_complete	recovered	attempt_count	rejected_attempt_count	tool_interactions	input_tokens	output_tokens	cost_usd	review_sha256
create-status-badge-01-1001	create-status-badge	1	semantic	false	false	false	0	0	9	54846	8489	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
create-status-badge-02-1002	create-status-badge	2	direct-svg	false	false	false	1	0	1	4682	831	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
create-status-badge-02-1002	create-status-badge	2	semantic	false	false	false	0	0	12	2797954	47476	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
create-status-badge-03-1003	create-status-badge	3	direct-svg	true	true	false	1	0	1	4566	723	0.0	sha256:9e6f8c583eb7a21fea8cccfa3d29e632c6f7ed208f60086a0b26091dd90e22b0
create-status-badge-03-1003	create-status-badge	3	semantic	false	false	false	0	0	12	194898	14576	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
create-status-badge-04-1004	create-status-badge	4	direct-svg	true	true	false	1	0	1	4565	770	0.0	sha256:9e6f8c583eb7a21fea8cccfa3d29e632c6f7ed208f60086a0b26091dd90e22b0
create-status-badge-04-1004	create-status-badge	4	semantic	false	false	false	0	0	7	85129	11799	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
create-status-badge-05-1005	create-status-badge	5	direct-svg	true	true	false	1	0	1	4561	742	0.0	sha256:9e6f8c583eb7a21fea8cccfa3d29e632c6f7ed208f60086a0b26091dd90e22b0
create-status-badge-05-1005	create-status-badge	5	semantic	false	false	false	0	0	12	85735	6354	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
group-and-move-mascot-01-1001	group-and-move-mascot	1	direct-svg	true	false	false	1	0	1	5084	934	0.0	sha256:882ba360792ffaf1d514bc5b94a5d8896bc4b0a686ca4f7b493ae9cbc567c917
group-and-move-mascot-01-1001	group-and-move-mascot	1	semantic	false	false	false	0	0	8	46896	8299	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
group-and-move-mascot-02-1002	group-and-move-mascot	2	direct-svg	true	false	false	1	0	1	5081	1060	0.0	sha256:882ba360792ffaf1d514bc5b94a5d8896bc4b0a686ca4f7b493ae9cbc567c917
group-and-move-mascot-02-1002	group-and-move-mascot	2	semantic	false	false	false	0	0	12	454015	33042	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
group-and-move-mascot-03-1003	group-and-move-mascot	3	direct-svg	true	false	false	1	0	1	5070	1055	0.0	sha256:882ba360792ffaf1d514bc5b94a5d8896bc4b0a686ca4f7b493ae9cbc567c917
group-and-move-mascot-03-1003	group-and-move-mascot	3	semantic	false	false	false	0	0	8	89520	12125	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
group-and-move-mascot-04-1004	group-and-move-mascot	4	direct-svg	true	false	false	1	0	1	5140	1111	0.0	sha256:882ba360792ffaf1d514bc5b94a5d8896bc4b0a686ca4f7b493ae9cbc567c917
group-and-move-mascot-04-1004	group-and-move-mascot	4	semantic	false	false	false	0	0	5	30561	8035	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
group-and-move-mascot-05-1005	group-and-move-mascot	5	direct-svg	true	false	false	1	0	1	4963	863	0.0	sha256:882ba360792ffaf1d514bc5b94a5d8896bc4b0a686ca4f7b493ae9cbc567c917
group-and-move-mascot-05-1005	group-and-move-mascot	5	semantic	false	false	false	0	0	4	24083	7699	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
recolor-card-theme-01-1001	recolor-card-theme	1	direct-svg	true	true	false	1	0	1	4711	674	0.0	sha256:829f9fe9b06b0ef7afca94fa645ab285f93fcc15bc6640f62454c11ed01ca706
recolor-card-theme-01-1001	recolor-card-theme	1	semantic	false	false	false	0	0	0	30566	7626	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
recolor-card-theme-02-1002	recolor-card-theme	2	direct-svg	true	true	false	1	0	1	4715	657	0.0	sha256:829f9fe9b06b0ef7afca94fa645ab285f93fcc15bc6640f62454c11ed01ca706
recolor-card-theme-02-1002	recolor-card-theme	2	semantic	false	false	false	0	0	3	16545	7045	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
recolor-card-theme-03-1003	recolor-card-theme	3	direct-svg	true	true	false	1	0	1	4843	787	0.0	sha256:829f9fe9b06b0ef7afca94fa645ab285f93fcc15bc6640f62454c11ed01ca706
recolor-card-theme-03-1003	recolor-card-theme	3	semantic	false	false	false	0	0	0	54976	10086	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
recolor-card-theme-04-1004	recolor-card-theme	4	direct-svg	true	true	false	1	0	1	4714	670	0.0	sha256:829f9fe9b06b0ef7afca94fa645ab285f93fcc15bc6640f62454c11ed01ca706
recolor-card-theme-04-1004	recolor-card-theme	4	semantic	false	false	false	0	0	4	21584	7396	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
recolor-card-theme-05-1005	recolor-card-theme	5	direct-svg	true	true	false	1	0	1	4851	795	0.0	sha256:829f9fe9b06b0ef7afca94fa645ab285f93fcc15bc6640f62454c11ed01ca706
recolor-card-theme-05-1005	recolor-card-theme	5	semantic	false	false	false	0	0	0	23142	6754	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
recover-invalid-edit-01-1001	recover-invalid-edit	1	direct-svg	true	false	false	2	1	2	17347	2727	0.0	sha256:a99d5826f12991d5da78c583bb2dd9762e5f750ffea152ae7fa404eb5cead224
recover-invalid-edit-01-1001	recover-invalid-edit	1	semantic	false	false	false	0	0	0	37490	9157	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
recover-invalid-edit-02-1002	recover-invalid-edit	2	direct-svg	false	false	false	3	1	3	41317	8907	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
recover-invalid-edit-02-1002	recover-invalid-edit	2	semantic	false	false	false	0	0	0	8888	5294	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
recover-invalid-edit-03-1003	recover-invalid-edit	3	direct-svg	true	false	false	2	1	2	8383	1498	0.0	sha256:a99d5826f12991d5da78c583bb2dd9762e5f750ffea152ae7fa404eb5cead224
recover-invalid-edit-03-1003	recover-invalid-edit	3	semantic	false	false	false	0	0	0	2304	4096	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
recover-invalid-edit-04-1004	recover-invalid-edit	4	direct-svg	true	false	false	2	1	2	12514	2001	0.0	sha256:a99d5826f12991d5da78c583bb2dd9762e5f750ffea152ae7fa404eb5cead224
recover-invalid-edit-04-1004	recover-invalid-edit	4	semantic	false	false	false	0	0	0	51211	9561	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
recover-invalid-edit-05-1005	recover-invalid-edit	5	direct-svg	true	false	false	2	1	2	11404	1464	0.0	sha256:a99d5826f12991d5da78c583bb2dd9762e5f750ffea152ae7fa404eb5cead224
recover-invalid-edit-05-1005	recover-invalid-edit	5	semantic	false	false	false	0	0	0	34626	9116	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
recover-stale-revision-01-1001	recover-stale-revision	1	direct-svg	true	true	true	2	1	2	8450	1217	0.0	sha256:2155d0a52304e74bf4c11041a843042351f06e9c90e664a4dc79ce8ff6d64809
recover-stale-revision-01-1001	recover-stale-revision	1	semantic	false	false	false	0	0	6	28560	6726	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
recover-stale-revision-02-1002	recover-stale-revision	2	direct-svg	false	false	false	0	0	0	33789	7368	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
recover-stale-revision-02-1002	recover-stale-revision	2	semantic	false	false	false	0	0	5	26476	7650	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
recover-stale-revision-03-1003	recover-stale-revision	3	direct-svg	true	true	true	2	1	2	8303	1155	0.0	sha256:2155d0a52304e74bf4c11041a843042351f06e9c90e664a4dc79ce8ff6d64809
recover-stale-revision-03-1003	recover-stale-revision	3	semantic	false	false	false	0	0	4	24219	8856	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
recover-stale-revision-04-1004	recover-stale-revision	4	direct-svg	true	true	true	2	1	2	8317	1114	0.0	sha256:2155d0a52304e74bf4c11041a843042351f06e9c90e664a4dc79ce8ff6d64809
recover-stale-revision-04-1004	recover-stale-revision	4	semantic	false	false	false	0	0	3	14268	6141	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
recover-stale-revision-05-1005	recover-stale-revision	5	direct-svg	true	true	true	2	1	2	8297	1097	0.0	sha256:2155d0a52304e74bf4c11041a843042351f06e9c90e664a4dc79ce8ff6d64809
recover-stale-revision-05-1005	recover-stale-revision	5	semantic	false	false	false	0	0	0	26667	6854	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
revise-named-sun-01-1001	revise-named-sun	1	direct-svg	true	true	false	1	0	1	4674	695	0.0	sha256:4698d0e9875d2a7881bbd071285d7e3c8a2aae068197c1733112f22078a5f46b
revise-named-sun-01-1001	revise-named-sun	1	semantic	false	false	false	0	0	0	23943	6668	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
revise-named-sun-02-1002	revise-named-sun	2	direct-svg	true	true	false	1	0	1	4827	749	0.0	sha256:4698d0e9875d2a7881bbd071285d7e3c8a2aae068197c1733112f22078a5f46b
revise-named-sun-02-1002	revise-named-sun	2	semantic	false	false	false	0	0	0	38410	8524	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
revise-named-sun-03-1003	revise-named-sun	3	direct-svg	true	true	false	1	0	1	4825	835	0.0	sha256:4698d0e9875d2a7881bbd071285d7e3c8a2aae068197c1733112f22078a5f46b
revise-named-sun-03-1003	revise-named-sun	3	semantic	false	false	false	0	0	0	26767	7760	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
revise-named-sun-04-1004	revise-named-sun	4	direct-svg	true	true	false	1	0	1	4901	820	0.0	sha256:4698d0e9875d2a7881bbd071285d7e3c8a2aae068197c1733112f22078a5f46b
revise-named-sun-04-1004	revise-named-sun	4	semantic	false	false	false	0	0	0	19513	6563	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
revise-named-sun-05-1005	revise-named-sun	5	direct-svg	true	true	false	1	0	1	4761	684	0.0	sha256:4698d0e9875d2a7881bbd071285d7e3c8a2aae068197c1733112f22078a5f46b
revise-named-sun-05-1005	revise-named-sun	5	semantic	false	false	false	0	0	0	31086	7860	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
